"date","Location","Team","Opponent","ADJO","ADJD","EFG%","TO%","OR%","FTR","Opp EFG%","Opp TO%","Opp OR%","Opp FTR","opp_adj_o","opp_adj_d"
2024-12-23,"Home","North Dakota St.","Cal St. Bakersfield",133.4,89.4,62.7,8.8,20,68.6,46.3,16.1,21.2,38.9,85.2,125.3
2024-12-23,"Neutral","Charleston","Loyola Chicago",102.1,91.8,56,20.9,9.7,27.6,46.6,24.8,31.6,34.5,95.6,97.9
2024-12-23,"Neutral","Charlotte","Murray St.",118.6,110.4,50,17.4,36.4,60,46.4,8.7,28.2,52.2,106,115.3
2024-12-23,"Home","Tennessee","Middle Tennessee",112.6,95.4,57.1,15.7,25.8,41.1,48.3,15.7,15.8,23.7,116.3,98.5
2024-12-23,"Away","Nebraska","Hawaii",107.5,93.1,53.6,19.3,33.3,20,47.9,25.7,32.1,31.9,103.3,103.5
2024-12-23,"Neutral","Oregon St.","Oakland",110.6,112.1,50.8,16.1,46.2,28.8,50.9,20.5,38.2,42.9,120.8,109.1
2024-12-23,"Away","Seattle","Washington",120.1,92.5,44.6,11.1,21.9,57.1,47.4,16.7,21.6,40.4,91.8,112.2
