Location,Team,Opponent,WAB,ADJO,ADJD,EFF,EFG%,TO%,OR%,FTR,2P,3P,Opp EFF,Opp EFG%,Opp TO%,Opp OR%,Opp FTR,Opp 2P,Opp 3P,Opponent_score,Team_score
N,Boston College,VCU,-0.4,88.1,104.9,76.6,31.0,23.7,34.7,50.0,15-47,2-11,111.5,50.0,16.7,36.8,48.3,18-33,8-27,80,55
H,Boston College,Temple,-0.3,111.3,104.6,110.7,48.4,12.3,34.2,32.8,19-41,7-20,106.1,49.2,15.4,35.1,30.5,17-41,8-18,69,72
H,Boston College,Loyola MD,-0.3,115.2,104.2,125.6,49.3,12.3,50.0,19.4,19-51,11-21,93.5,49.1,19.9,20.6,6.9,15-27,9-31,61,82
N,Boston College,Old Dominion,-0.2,111.8,87.8,123.7,50.7,12.1,43.2,23.9,19-41,10-26,78.4,38.6,19.6,30.2,33.3,16-36,4-21,52,82
N,Boston College,Missouri St.,-0.1,105.2,105.2,105.3,58.9,19.4,22.6,32.1,18-38,10-18,102.5,44.0,16.6,30.6,50.0,21-45,3-13,74,76
N,Boston College,Boise St.,0.4,96.9,84.4,91.9,51.0,26.3,21.4,27.5,23-39,2-12,89.0,43.1,20.4,23.5,43.1,16-34,4-17,61,63
H,Boston College,Dartmouth,-0.6,107.8,128.3,111.8,56.3,13.5,16.7,48.2,24-33,5-23,118.6,60.5,10.8,9.4,25.8,12-31,17-31,88,83
H,Boston College,South Carolina,-1.3,83.4,103.9,77.6,35.1,16.7,26.2,31.6,17-41,2-16,107.8,50.0,10.6,28.9,38.2,16-37,5-25,73,51
A,Rider,UCLA,-0.2,96.3,117.9,77.6,35.7,20.2,37.5,20.6,15-43,5-20,131.9,60.0,14.0,42.9,18.5,24-36,10-29,85,50
A,Rider,San Diego,-0.1,97.1,103.7,96.1,47.3,19.8,25.7,39.3,13-31,9-25,94.7,44.4,18.4,34.1,27.0,19-45,6-18,67,68
A,Rider,Coppin St.,-0.1,87.9,90.7,93.4,46.8,20.4,23.3,61.7,19-33,2-14,77.4,38.5,17.5,20.9,18.0,16-38,5-23,53,64
A,Rider,Navy,0.0,122.2,115.2,130.4,62.7,23.2,46.4,62.7,17-32,10-19,114.4,49.2,11.6,31.4,41.7,19-35,7-25,79,90
A,Rider,Iowa,-0.3,87.3,100.5,80.5,43.5,27.7,25.8,24.1,22-38,1-16,115.2,53.1,11.1,27.0,32.8,22-42,8-22,83,58
A,Rider,Bucknell,-0.2,95.2,91.9,93.2,37.5,19.6,43.2,51.9,12-36,5-16,86.7,42.7,19.6,23.5,41.7,10-20,7-28,53,57
A,Rider,Villanova,-0.6,85.3,102.7,81.0,47.9,28.7,33.3,16.7,17-31,4-17,121.5,54.3,13.5,34.3,20.7,9-20,15-38,72,48
H,Rider,Delaware,-1.6,99.5,115.4,105.1,46.4,11.1,36.6,4.3,23-46,6-23,114.6,54.3,9.6,20.6,22.4,18-33,9-25,72,66
A,Rider,Fairfield,-2.5,105.0,120.9,113.6,53.6,16.7,36.4,47.3,22-41,5-14,118.2,55.6,22.7,51.4,22.6,21-44,9-18,78,75
H,Rider,Quinnipiac,-3.4,104.5,119.0,104.6,47.3,15.6,35.3,35.7,22-42,3-14,112.5,52.6,21.9,46.9,31.6,21-34,6-23,72,67
H,Rider,Stony Brook,-4.4,88.2,130.1,93.3,42.3,17.0,31.4,36.5,19-40,2-12,122.2,64.4,23.8,44.0,11.5,14-27,13-25,72,55
H,Campbell,Pfeiffer,0.0,-,-,123.7,57.8,16.8,30.0,62.1,29-41,3-17,63.2,33.9,29.6,29.8,28.8,11-34,6-25,49,96
A,Campbell,Virginia,-0.5,105.5,109.8,95.4,47.3,15.3,20.0,7.1,10-27,11-29,110.7,64.3,18.7,18.2,42.9,18-29,6-13,65,56
H,Campbell,Saint Francis,-1.5,87.7,101.3,93.3,49.0,26.2,25.9,43.8,16-24,5-24,94.8,56.0,26.2,19.2,22.0,19-32,6-18,65,64
H,Campbell,Newberry,-1.5,-,-,124.2,60.0,12.0,20.0,18.3,18-37,12-23,59.8,34.8,32.9,30.0,47.8,10-31,4-15,40,83
A,Campbell,Navy,-1.4,109.2,98.5,121.3,55.8,12.7,28.1,36.7,23-37,7-23,93.1,46.4,21.1,27.8,43.6,18-39,5-16,66,86
A,Campbell,Ohio St.,-1.8,96.2,124.5,82.2,44.2,20.5,12.1,40.4,17-32,4-20,142.5,75.0,11.0,21.4,30.6,27-42,13-20,104,60
A,Campbell,Evansville,-2.6,81.3,101.8,80.3,37.8,21.2,14.7,36.7,11-27,5-22,100.0,51.0,16.7,20.0,39.2,17-27,6-24,66,53
A,Campbell,Green Bay,-2.5,95.7,91.8,100.6,52.6,16.8,17.6,25.9,17-30,9-28,92.2,44.8,15.4,16.7,32.8,17-32,6-26,66,72
H,Campbell,Coastal Carolina,-3.5,84.2,101.2,90.6,37.0,14.3,21.1,54.0,11-28,5-22,92.2,51.0,20.7,24.2,39.6,17-34,5-14,58,57
A,Campbell,The Citadel,-3.4,120.8,106.7,134.0,58.1,9.3,34.4,22.6,18-35,12-27,90.4,46.4,21.8,28.6,21.8,18-31,5-24,58,86
A,Campbell,Morgan St.,-4.4,100.8,128.2,109.0,47.4,18.6,32.4,41.4,14-33,9-25,123.3,69.4,20.1,31.8,31.5,33-47,3-7,86,76
H,UCLA,Rider,0.0,120.4,88.5,131.9,60.0,14.0,42.9,18.5,24-36,10-29,77.6,35.7,20.2,37.5,20.6,15-43,5-20,50,85
N,UCLA,New Mexico,-0.6,86.9,92.7,84.9,40.9,27.9,35.0,49.1,15-32,5-23,95.5,57.1,31.8,28.6,46.9,19-34,6-15,72,64
H,UCLA,Boston University,-0.5,90.5,61.9,97.8,44.2,20.7,34.4,35.0,19-38,5-22,55.1,37.0,38.6,21.9,19.6,8-22,6-24,40,71
H,UCLA,Lehigh,-0.5,115.7,76.9,130.3,58.0,12.3,44.0,46.4,28-43,3-13,69.0,35.3,16.9,10.0,29.4,9-27,6-24,45,85
H,UCLA,Idaho St.,-0.4,131.8,119.1,134.4,67.0,17.6,38.1,55.3,18-33,9-14,112.0,54.6,19.2,37.0,25.9,13-21,11-33,70,84
H,UCLA,Cal St. Fullerton,-0.4,111.1,83.4,121.1,55.0,10.6,31.6,38.3,24-42,6-18,71.2,33.7,31.8,35.1,25.0,10-28,5-24,47,80
H,UCLA,Southern Utah,-0.3,114.5,67.8,123.6,51.3,11.2,50.0,11.3,32-60,6-20,60.4,40.0,42.1,25.0,37.5,10-24,4-16,43,88
H,UCLA,Washington,-0.2,110.4,91.6,107.1,48.3,12.4,28.6,36.7,17-39,8-21,90.0,41.8,18.6,30.3,49.0,16-33,3-16,58,69
A,UCLA,Oregon,0.6,120.7,94.3,109.0,54.8,13.4,20.0,11.3,16-39,12-23,106.0,55.5,19.4,34.6,25.5,17-34,9-21,71,73
N,UCLA,Arizona,1.2,96.2,78.8,88.6,49.0,21.8,24.2,31.4,19-30,4-21,84.0,47.6,34.2,36.0,45.2,17-26,2-16,54,57
H,UCLA,Prairie View A&M,1.2,125.0,106.9,147.0,67.2,13.2,40.0,60.7,26-40,10-21,99.4,56.9,22.5,15.6,47.1,14-30,10-21,75,111
H,Florida St.,Northern Kentucky,0.1,96.8,85.1,96.4,47.6,15.6,18.9,28.6,24-41,4-22,80.8,45.9,28.7,16.7,46.9,12-21,7-28,62,74
N,Florida St.,Rice,0.2,103.5,93.5,102.2,47.2,18.2,30.6,63.0,18-35,5-19,91.0,43.4,23.8,35.9,58.5,11-28,8-25,65,73
H,Florida St.,Tarleton St.,0.2,93.5,84.5,99.1,49.0,23.4,37.9,77.6,18-28,4-21,71.6,35.6,28.9,21.2,62.2,10-30,4-15,52,72
H,Florida St.,Florida,-0.2,106.3,102.9,99.3,43.6,10.7,29.2,30.0,20-50,7-20,116.7,60.7,25.5,46.4,27.9,22-33,10-28,87,74
H,Florida St.,Hofstra,-0.1,114.2,95.9,114.3,53.5,17.4,31.3,40.4,17-31,9-26,88.2,56.0,28.9,19.2,14.0,16-26,8-24,61,79
N,Florida St.,Temple,0.1,106.2,92.3,105.7,51.6,20.3,37.1,39.3,21-42,7-19,93.5,43.8,19.0,31.6,57.1,17-35,5-21,69,78
N,Florida St.,Massachusetts,0.2,118.2,89.1,126.8,64.7,13.8,27.6,48.3,24-40,9-18,81.3,33.6,23.4,39.5,50.0,15-34,3-24,59,92
H,Florida St.,Western Carolina,0.2,114.8,86.6,119.2,65.7,23.6,28.6,48.1,22-33,9-21,74.7,39.1,24.9,28.2,14.1,13-28,8-36,57,91
A,Florida St.,LSU,-0.2,114.6,108.2,102.6,43.1,19.1,44.0,30.6,22-53,6-19,116.3,52.4,15.0,39.5,46.8,19-35,9-27,85,75
A,Florida St.,N.C. State,-0.7,116.4,113.5,106.8,45.4,18.8,32.4,53.7,20-38,3-16,121.3,59.3,14.4,30.0,53.7,20-31,8-23,84,74
N,Florida St.,Tulane,-0.6,112.8,91.6,111.2,55.8,15.9,7.4,81.4,15-26,6-17,92.4,36.4,20.2,37.5,42.4,17-37,3-22,64,77
H,Florida St.,Winthrop,-0.5,105.4,86.8,107.2,56.6,26.1,47.1,27.9,24-41,7-20,83.7,36.0,19.6,29.8,33.8,11-32,9-36,64,82
H,Illinois,Eastern Illinois,0.0,121.8,96.6,134.4,60.9,15.6,38.9,71.9,15-22,16-42,80.4,41.2,9.6,12.0,36.8,22-56,4-12,67,112
H,Illinois,SIU Edwardsville,0.1,124.9,97.2,132.0,56.3,7.3,42.1,44.4,13-25,15-38,85.1,34.2,13.2,38.0,23.3,16-49,6-24,58,90
H,Illinois,Oakland,0.1,95.8,82.1,96.1,48.2,26.2,38.7,30.9,16-30,7-25,78.7,41.5,26.2,24.2,20.8,16-28,4-25,54,66
N,Illinois,Alabama,-0.1,115.5,107.0,107.0,52.1,16.0,31.8,33.8,22-41,10-30,123.0,59.3,8.6,18.9,17.3,28-41,11-34,100,87
H,Illinois,Maryland Eastern Shore,-0.1,99.3,69.6,119.7,51.4,12.4,44.2,24.3,23-34,10-40,55.0,25.7,20.6,25.9,11.8,10-48,5-20,40,87
H,Illinois,Little Rock,0.0,126.6,62.8,134.3,51.5,11.7,50.0,38.2,20-37,10-31,49.6,26.4,20.4,15.9,21.8,10-41,3-14,34,92
N,Illinois,Arkansas,0.5,139.4,98.8,124.8,65.8,15.2,22.2,38.6,15-26,15-31,106.7,52.6,15.2,26.3,46.6,23-41,5-17,77,90
A,Illinois,Northwestern,0.1,101.5,87.0,87.8,44.0,14.6,17.1,16.4,16-33,9-34,93.1,41.7,5.3,21.3,23.6,24-51,4-21,70,66
H,Illinois,Wisconsin,0.5,118.9,97.1,116.3,50.0,17.6,45.5,39.1,17-31,10-33,108.2,52.4,16.2,30.6,33.3,18-34,10-29,80,86
H,Illinois,Tennessee,0.3,116.1,89.7,97.4,33.3,16.7,32.4,70.6,11-28,4-23,100.5,37.1,9.1,40.5,45.2,14-38,6-24,66,64
H,Virginia,Campbell,0.0,106.4,103.4,110.7,64.3,18.7,18.2,42.9,18-29,6-13,95.4,47.3,15.3,20.0,7.1,10-27,11-29,56,65
H,Virginia,Coppin St.,0.0,89.9,84.4,97.4,49.0,18.9,18.8,23.1,12-25,9-27,70.7,32.0,15.7,10.8,32.0,10-31,4-19,45,62
N,Virginia,Villanova,0.5,112.5,83.6,111.7,65.3,19.1,12.0,18.4,11-24,14-25,95.7,43.5,20.7,33.3,31.5,10-22,9-32,60,70
N,Virginia,Tennessee,0.3,89.9,89.1,69.4,34.7,29.8,30.6,22.4,8-29,6-20,105.8,44.7,11.6,43.9,15.2,16-41,9-25,64,42
N,Virginia,St. John's,0.0,99.9,113.3,87.8,50.0,25.5,20.7,40.0,9-17,9-28,127.7,60.7,11.2,35.5,16.4,22-37,10-24,80,55
H,Virginia,Manhattan,0.1,112.1,108.4,119.5,59.3,12.9,25.0,27.8,23-40,6-14,104.9,53.8,22.6,32.3,18.9,12-27,11-26,65,74
H,Virginia,Holy Cross,0.1,103.6,76.9,116.4,51.8,10.4,28.1,21.8,15-30,9-25,71.3,38.2,19.1,20.0,9.8,12-29,5-22,41,67
A,Virginia,Florida,-0.1,122.5,112.5,107.2,52.6,23.3,40.6,17.5,18-36,8-21,135.2,60.0,9.3,34.4,35.0,21-35,10-25,87,69
A,Virginia,SMU,-0.5,90.2,86.5,80.8,42.6,22.2,9.7,25.5,8-28,8-19,99.8,49.0,19.0,26.7,40.8,15-25,6-24,63,51
H,Virginia,Bethune Cookman,-0.4,93.2,89.2,103.0,51.0,19.2,32.3,24.0,15-27,7-23,71.6,35.5,14.0,19.5,10.9,12-35,5-20,41,59
H,Stanford,Denver,0.0,111.1,98.5,122.8,54.6,15.9,42.9,27.7,25-42,7-23,89.5,49.0,28.9,32.3,47.9,19-31,3-17,62,85
H,Stanford,Cal St. Fullerton,0.1,112.4,100.5,126.0,56.6,14.2,34.5,49.1,12-21,12-32,83.4,36.3,22.0,22.6,82.5,10-28,3-12,53,80
H,Stanford,Northern Arizona,0.1,131.7,111.3,147.1,66.7,9.8,41.7,28.1,20-34,12-23,104.6,51.8,16.3,27.6,14.3,17-34,8-22,64,90
H,Stanford,UC Davis,0.2,113.8,97.2,109.0,43.3,13.8,37.2,37.3,17-39,8-28,89.7,50.0,19.3,9.4,32.1,19-37,5-16,65,79
H,Stanford,Norfolk St.,0.2,105.9,99.7,110.4,41.1,9.5,39.1,66.1,11-22,8-34,99.4,49.1,18.9,20.0,20.4,19-38,5-16,63,70
