iter	RMSE
135	7.619528109
136	7.602485846
137	7.58790377
138	7.575274338
139	7.560640176
140	7.547257679
141	7.533983958
142	7.519883445
143	7.50815052
144	7.494809027
145	7.483029941
146	7.467429689
147	7.451161363
148	7.439591691
149	7.428963144
150	7.415515037
151	7.403753115
152	7.391377751
153	7.379815796
154	7.368969951
155	7.355191379
156	7.344325687
157	7.331866352
158	7.318342723
159	7.306363339
160	7.295768068
161	7.284580383
162	7.275360441
163	7.263293637
164	7.252877647
165	7.24271474
166	7.231454258
167	7.222868809
168	7.213582391
169	7.202723816
170	7.193173123
171	7.183705236
172	7.173869424
173	7.164344267
174	7.154655646
175	7.144555343
176	7.135006535
177	7.126182329
178	7.115074264
179	7.106353037
180	7.095996815
181	7.08708923
182	7.078675818
183	7.070109242
184	7.059838467
185	7.05019172
186	7.042318805
187	7.034182287
188	7.025417006
189	7.017108077
190	7.007962613
191	6.998692777
192	6.990700657
193	6.982543655
194	6.974491973
195	6.966693486
196	6.959487622
197	6.950463639
198	6.943458758
199	6.933769636
200	6.925134415
201	6.916956921
202	6.90988307
203	6.90225195
204	6.894018125
205	6.885236228
206	6.876413844
207	6.870029161
208	6.861924952
209	6.855860364
210	6.846907554
211	6.838687458
212	6.832438647
213	6.82224287
214	6.813358767
215	6.805633429
216	6.798990388
217	6.791570246
218	6.78274931
219	6.775664329
220	6.768479442
221	6.763958916
222	6.7565624
223	6.749361751
224	6.742668745
225	6.735866274
226	6.729415694
227	6.72390448
228	6.717833928
229	6.713487196
230	6.707846597
231	6.702012794
232	6.696646982
233	6.688593415
234	6.682893553
235	6.676268925
236	6.671129958
237	6.664211725
238	6.657423322
239	6.65197428
240	6.646292962
241	6.641378208
242	6.636236077
243	6.630283647
244	6.624526161
245	6.618265999
246	6.61556082
247	6.610110253
248	6.604379963
249	6.599607193
250	6.593948044
251	6.588660581
252	6.584120168
253	6.577715715
254	6.571585844
255	6.567097651
256	6.562151032
257	6.557433778
258	6.550939877
259	6.545730547
260	6.54119011
261	6.535531197
262	6.53071607
263	6.525410525
264	6.520550482
265	6.514981237
266	6.510428878
267	6.505778026
268	6.501082496
269	6.497898047
270	6.492658349
271	6.488293242
272	6.483104291
273	6.478168071
274	6.47365837
275	6.468374642
276	6.463801297
277	6.459282913
278	6.455263389
279	6.450249684
280	6.445396823
281	6.441089213
282	6.436266815
283	6.431525148
284	6.428083296
285	6.424057003
286	6.4194101
287	6.415537029
288	6.410373394
289	6.40597415
290	6.400601457
291	6.395946247
292	6.392716872
293	6.38873965
294	6.384257617
295	6.380022571
296	6.37577014
297	6.371471556
298	6.36642787
299	6.3621732
300	6.358680582
301	6.353857068
302	6.350512148
303	6.346260066
304	6.342955915
305	6.339822438
306	6.335543965
307	6.331902162
308	6.327792955
309	6.323641539
310	6.319060244
311	6.31533042
312	6.311912637
313	6.308095997
314	6.303872083
315	6.30014835
316	6.297049571
317	6.293500288
318	6.28953405
319	6.285993221
320	6.282992761
321	6.279676967
322	6.276163142
323	6.272797876
324	6.2700422
325	6.267594452
326	6.264097584
327	6.260548927
328	6.25773016
329	6.251860798
330	6.249428718
331	6.245803351
332	6.241863024
333	6.238229473
334	6.235987628
335	6.232664349
336	6.228083353
337	6.22495784
338	6.22175467
339	6.218653279
340	6.215525757
341	6.212122904
342	6.208752818
343	6.204361162
344	6.201070262
345	6.197884016
346	6.194364839
347	6.191461162
348	6.188588445
349	6.185182919
350	6.181698151
351	6.178542752
352	6.174895173
353	6.17165644
354	6.168452138
355	6.1654321
356	6.162271341
357	6.159491666
358	6.156380597
359	6.153751422
360	6.150420528
361	6.146972122
362	6.143328823
363	6.140626679
364	6.137927355
365	6.134650084
366	6.132205215
367	6.128881534
368	6.126352596
369	6.12340309
370	6.120626112
371	6.117664851
372	6.115240897
373	6.11195324
374	6.110048339
375	6.106561704
376	6.10388627
377	6.101484203
378	6.09874522
379	6.095702907
380	6.093486321
381	6.091065032
382	6.088280614
383	6.084835901
384	6.082631874
385	6.080008133
386	6.076992177
387	6.074017213
388	6.070357997
389	6.068487687
390	6.066390519
391	6.064486478
392	6.062299948
393	6.060257077
394	6.057069725
395	6.054330812
396	6.052232118
397	6.049912998
398	6.047702745
399	6.045331236
400	6.043087514
401	6.041280739
402	6.038190744
403	6.035798509
404	6.03342837
405	6.031253841
406	6.029460743
407	6.026943387
408	6.023990073
409	6.020999202
410	6.018812815
411	6.016627435
412	6.013918912
413	6.011741057
414	6.009336533
415	6.006341108
416	6.004152415
417	6.001464997
418	5.99943471
419	5.997077338
420	5.994916123
421	5.992031807
422	5.989238849
423	5.987602173
424	5.985381622
425	5.98296217
426	5.980584179
427	5.977173208
428	5.975113531
429	5.972894292
430	5.970876309
431	5.969052922
432	5.966741628
433	5.963760934
434	5.961435545
435	5.958588229
436	5.95626621
437	5.953550074
438	5.952008918
439	5.949767991
440	5.947693395
441	5.944613456
442	5.942341755
443	5.940139006
444	5.937989143
445	5.935531474
446	5.933112618
447	5.930522714
448	5.928447869
449	5.926530424
450	5.924408429
451	5.922333455
452	5.920670084
453	5.918197532
454	5.916601072
455	5.914996871
456	5.912481196
457	5.910458247
458	5.908423829
459	5.906087117
460	5.903842442
461	5.90175809
462	5.899784991
463	5.89802327
464	5.896450392
465	5.894613177
466	5.892908761
467	5.890964701
468	5.889000229
469	5.887067821
470	5.884920273
471	5.882018055
472	5.880465118
473	5.878615519
474	5.876702265
475	5.875164079
476	5.873484065
477	5.871450986
478	5.86909134
479	5.867722426
480	5.865657535
481	5.863581646
482	5.862069513
483	5.860200067
484	5.858304037
485	5.856942418
486	5.85440177
487	5.852624123
488	5.850230991
489	5.84850609
490	5.846799085
491	5.84485256
492	5.842897748
493	5.841588388
494	5.839779099
495	5.838342049
496	5.836171133
497	5.833276739
498	5.831232018
499	5.829493643
