Date,Team,Opponent,Location,WAB,ADJO,ADJD,EFF,EFG%,TO%,OR%,FTR,2P,3P,Opp EFF,Opp EFG%,Opp TO%,Opp OR%,Opp FTR,Opp 2P,Opp 3P,Opponent_score,Team_score,opp_adj_o,opp_adj_d
2024-11-04,Duke,Maine,H,0.1,125.3,95.2,130.6,64.3,17.7,35.5,31.7,24-34,11-29,84.3,39.5,19.0,19.4,31.6,18-43,3-14,62,96,108.9,110.8
2024-11-08,Duke,Army,H,0.1,124.7,92.3,141.0,61.3,11.3,43.6,25.4,18-33,17-38,81.8,39.1,18.3,23.3,14.1,13-35,8-29,58,100,107.2,119.0
2024-11-12,Duke,Kentucky,N,-0.2,106.8,86.4,95.7,42.3,9.3,25.0,23.9,24-47,4-24,102.3,47.6,14.6,23.3,38.1,15-38,10-25,77,72,119.6,88.1
2024-11-16,Duke,Wofford,H,-0.1,124.7,56.9,133.7,61.3,15.5,45.2,17.7,14-24,16-38,54.4,28.9,29.5,29.3,5.3,9-24,5-33,35,86,69.8,115.5
2024-11-22,Duke,Arizona,A,0.6,111.7,75.9,101.9,50.0,20.7,35.1,21.3,17-36,9-25,81.2,45.3,22.2,16.7,20.8,15-30,6-23,55,69,98.9,90.4
2024-11-26,Duke,Kansas,N,0.3,116.1,100.5,105.7,61.5,23.5,19.2,37.5,13-22,11-26,110.1,56.1,23.5,33.3,21.1,20-40,8-17,75,72,134.8,92.6
2024-11-29,Duke,Seattle,H,0.5,98.9,72.5,103.1,48.3,19.2,30.8,32.8,13-22,10-36,70.7,25.5,23.6,23.8,66.0,6-28,4-19,48,70,88.5,89.3
2024-12-04,Duke,Auburn,H,1.2,145.6,103.4,133.8,57.8,6.4,33.3,46.6,20-36,9-22,124.3,53.1,12.7,40.5,18.8,19-39,10-25,78,84,152.8,117.1
2024-12-08,Duke,Louisville,A,1.9,115.9,94.1,112.9,51.6,10.4,25.7,22.6,20-32,8-30,96.6,48.0,22.3,23.5,41.2,8-20,11-31,65,76,121.0,97.3
2024-12-10,Duke,Incarnate Word,H,1.9,101.3,80.7,116.4,50.9,21.0,47.1,38.2,16-30,8-25,74.4,36.8,17.8,22.2,22.6,12-30,5-23,46,72,96.6,98.5
2024-12-17,Duke,George Mason,H,2.1,113.5,76.7,108.1,45.5,15.9,37.8,37.5,12-29,9-27,74.7,30.9,20.7,41.7,8.8,18-51,2-17,47,68,93.6,93.5
2024-11-04,North Carolina,Elon,H,0.1,118.4,103.0,120.6,48.1,8.0,37.5,20.0,19-48,13-32,101.8,53.3,21.4,28.6,23.0,13-32,13-29,76,90,111.1,107.7
2024-11-08,North Carolina,Kansas,A,-0.1,127.6,107.4,115.0,48.4,14.2,27.0,49.2,20-40,7-23,118.9,52.6,5.2,28.6,22.4,31-55,6-21,92,89,128.2,103.6
2024-11-15,North Carolina,American,H,0.0,122.8,90.4,144.2,64.8,12.1,38.5,55.7,29-39,7-22,74.1,36.9,17.5,16.3,18.0,12-30,7-31,55,107,96.3,116.4
2024-11-22,North Carolina,Hawaii,A,0.2,126.7,102.1,127.4,56.5,7.3,16.7,63.0,23-39,5-15,101.1,45.6,19.0,40.5,42.1,14-34,8-23,69,87,107.5,116.8
2024-11-25,North Carolina,Dayton,N,0.7,120.0,106.2,118.5,60.2,19.3,26.7,63.0,19-31,9-23,115.9,52.7,12.9,31.0,20.3,18-42,14-32,90,92,126.8,105.4
2024-11-26,North Carolina,Auburn,N,0.6,106.5,94.5,97.2,48.4,13.5,18.4,30.6,21-46,6-16,114.8,51.4,10.8,27.5,24.6,19-39,11-30,85,72,124.2,87.2
2024-11-27,North Carolina,Michigan St.,N,0.2,121.8,109.6,114.0,58.6,13.8,14.7,32.8,21-41,11-23,117.7,57.4,15.0,25.0,50.8,29-45,4-16,94,91,128.7,101.3
2024-12-04,North Carolina,Alabama,H,-0.2,102.5,98.1,94.7,44.2,15.6,31.9,20.5,27-50,5-28,112.7,57.7,16.8,22.9,18.3,23-38,12-33,94,79,122.1,85.2
2024-12-07,North Carolina,Georgia Tech,H,0.0,90.9,86.5,89.3,43.2,23.6,33.3,35.6,18-35,5-24,85.3,37.5,18.4,23.9,37.5,12-37,8-27,65,68,93.3,79.5
2024-12-14,North Carolina,La Salle,H,0.1,119.5,90.6,121.4,61.2,14.4,35.3,34.3,26-36,10-31,87.5,42.5,15.7,28.6,15.1,16-44,10-29,67,93,96.8,107.5
2024-12-17,North Carolina,Florida,N,-0.2,114.9,100.9,107.1,49.3,12.8,30.2,26.4,28-44,5-28,114.8,54.6,21.7,41.0,41.5,19-33,11-32,90,84,124.3,96.2
2024-11-04,N.C. State,USC Upstate,H,0.0,115.9,99.0,129.5,62.5,14.7,41.2,30.9,29-41,9-27,88.1,36.3,22.7,37.0,43.5,18-41,3-21,66,97,98.5,120.0
2024-11-08,N.C. State,Presbyterian,H,0.1,113.8,110.6,120.3,61.6,17.8,35.7,33.9,24-37,7-19,107.0,53.5,22.3,38.7,28.1,23-41,5-16,72,81,112.3,116.9
2024-11-13,N.C. State,Coastal Carolina,H,0.1,112.4,104.8,116.2,47.4,14.2,34.3,61.4,27-47,0-10,99.2,50.0,26.9,35.7,39.2,18-33,5-18,70,82,105.9,111.2
2024-11-18,N.C. State,Colgate,H,0.1,95.2,72.6,100.2,47.2,16.7,18.2,48.1,21-40,3-14,68.2,37.3,20.9,20.0,7.9,16-37,5-26,49,72,73.0,95.7
2024-11-22,N.C. State,William & Mary,H,0.2,102.5,81.2,111.5,53.1,14.6,28.9,35.9,25-45,6-19,81.0,42.5,27.9,27.5,20.0,15-29,7-31,61,84,87.7,105.6
2024-11-28,N.C. State,Purdue,N,-0.2,109.9,105.4,103.0,47.2,13.5,26.5,28.3,19-36,4-17,119.9,47.2,10.1,40.6,48.1,18-38,5-16,71,61,125.9,100.1
2024-11-29,N.C. State,BYU,N,-0.6,96.2,104.2,94.4,44.7,13.9,23.1,24.6,12-34,9-23,111.4,50.8,21.7,39.5,27.1,15-33,10-26,72,61,121.7,87.5
2024-12-04,N.C. State,Texas,H,-1.2,108.0,98.6,99.7,49.1,15.2,29.4,25.9,19-40,5-14,106.5,52.8,20.3,39.4,26.4,16-36,8-17,63,59,113.0,96.1
2024-12-07,N.C. State,Florida St.,H,0.0,128.7,107.1,121.3,59.3,14.4,30.0,53.7,20-31,8-23,106.8,45.4,18.8,32.4,53.7,20-38,3-16,74,84,116.6,113.8
2024-12-10,N.C. State,Coppin St.,H,-0.9,94.2,108.0,104.1,41.7,14.2,37.2,40.0,16-42,6-18,88.4,45.5,23.7,29.0,59.1,17-35,2-9,56,66,96.3,97.9
2024-12-14,N.C. State,Kansas,A,-1.1,109.2,107.7,96.9,42.1,12.9,28.2,31.6,15-42,6-15,121.1,66.0,21.0,34.8,13.2,20-29,10-24,75,60,126.8,94.3
2024-11-06,Georgia Tech,West Georgia,H,0.0,106.9,91.0,113.6,53.7,16.0,40.6,25.0,26-41,7-27,82.9,40.6,10.7,14.3,28.1,17-49,6-15,62,85,86.3,111.8
2024-11-10,Georgia Tech,North Florida,H,-0.9,106.0,121.7,113.8,55.1,12.2,29.5,15.2,24-50,13-29,128.5,60.1,11.0,28.6,42.0,28-38,9-31,105,93,133.4,112.8
2024-11-12,Georgia Tech,Texas Southern,H,-0.9,105.3,87.0,109.0,47.4,18.8,34.1,58.6,11-22,11-36,83.4,37.9,16.2,28.6,33.3,16-52,6-14,62,81,86.2,108.0
2024-11-15,Georgia Tech,Georgia,H,-1.4,100.5,96.0,91.9,41.3,17.3,24.4,34.9,17-40,6-23,102.5,49.1,16.0,27.3,55.4,23-38,3-18,77,69,107.6,90.1
2024-11-23,Georgia Tech,Cincinnati,H,-2.0,92.3,108.3,83.3,39.8,17.2,30.8,33.9,16-39,5-20,116.4,58.9,17.2,34.6,19.4,23-40,9-22,81,58,121.4,82.4
2024-11-27,Georgia Tech,Charleston Southern,H,-2.0,113.3,97.4,122.0,54.9,9.4,35.1,27.8,35-61,3-11,89.9,37.5,18.8,31.0,62.5,9-32,8-24,67,91,96.2,117.7
2024-11-30,Georgia Tech,Central Arkansas,H,-1.9,124.2,119.4,134.7,58.2,7.7,35.3,32.8,16-29,13-32,105.3,49.1,12.4,17.1,24.6,7-25,14-32,68,87,112.4,130.1
2024-12-03,Georgia Tech,Oklahoma,A,-2.3,107.6,100.4,94.0,46.2,16.9,20.0,34.0,17-34,5-19,117.1,48.1,10.8,25.7,57.7,10-24,10-28,76,61,113.5,100.7
