"game_id","date","Team","Opponent","Team_Score","Opponent_Score","Location","ADJO","ADJD","EFF","EFG_pct","TO_Pct","OR_Pct","FTR_Pct","ThreePointer_Pct","opp_ADJO","opp_ADJD","Opp_EFF","Opp_EFG_Pct","Opp_TO_Pct","Opp_OR_Pct","Opp_FTR_Pct","Opp_ThreePointer_Pct"
"N.C. StateDuke1-27",2025-01-27,"Duke","Duke",74,64,"H",108,97.7,109.1,42.4,14.7,42.9,47.5,20,108,97.7,109.1,42.4,14.7,42.9,47.5,20
"N.C. StateVirginia Tech1-15",2025-01-15,"Virginia Tech","Virginia Tech",79,76,"H",126.2,122,125.2,55.1,19,48.4,28.8,50,126.2,122,125.2,55.1,19,48.4,28.8,50
"N.C. StateVirginia12-31",2024-12-31,"Virginia","Virginia",70,67,"H",121.4,115.5,119.8,63.5,12,12.5,25,45,121.4,115.5,119.8,63.5,12,12.5,25,45
"N.C. StateWake Forest1-4",2025-01-04,"Wake Forest","Wake Forest",77,59,"H",123,93.8,121.3,60.8,17.3,33.3,37.3,37.5,123,93.8,121.3,60.8,17.3,33.3,37.3,37.5
"NavyVirginia Tech12-15",2024-12-15,"Virginia Tech","Virginia Tech",80,72,"H",122.6,128,132.1,62.7,16.5,34.8,35.3,55.56,122.6,128,132.1,62.7,16.5,34.8,35.3,55.56
"Norfolk St.Stanford11-20",2024-11-20,"Stanford","Stanford",70,63,"H",107.2,99,110.4,41.1,9.5,39.1,66.1,23.53,107.2,99,110.4,41.1,9.5,39.1,66.1,23.53
"North Carolina A&TVirginia Tech12-12",2024-12-12,"Virginia Tech","Virginia Tech",95,67,"H",110.8,97.7,124.3,60,20.9,43.2,22.9,38.89,110.8,97.7,124.3,60,20.9,43.2,22.9,38.89
"North Carolina A&TWake Forest11-7",2024-11-07,"Wake Forest","Wake Forest",80,64,"H",88.6,88.2,99.3,48.4,23.6,30.3,35.5,24,88.6,88.2,99.3,48.4,23.6,30.3,35.5,24
"North CarolinaDuke2-1",2025-02-01,"North Carolina","Duke",70,87,"A",123.1,119,108.1,53.6,21.6,38.7,25.5,36.84,147.7,95.5,134.3,62.3,12.4,26.9,47.2,50
"North CarolinaHawaii11-22",2024-11-22,"North Carolina","North Carolina",87,69,"A",128.7,101.8,127.4,56.5,7.3,16.7,63,33.33,128.7,101.8,127.4,56.5,7.3,16.7,63,33.33
"North CarolinaKansas11-8",2024-11-08,"North Carolina","North Carolina",89,92,"A",133.9,109.4,115,48.4,14.2,27,49.2,30.43,133.9,109.4,115,48.4,14.2,27,49.2,30.43
"North CarolinaLouisville1-1",2025-01-01,"North Carolina","Louisville",70,83,"A",107.5,96.4,94.3,43.3,14.8,17.5,38.3,25,115.3,90.3,111.8,50,9.4,25,67.2,23.08
"North CarolinaN.C. State1-11",2025-01-11,"North Carolina","North Carolina",63,61,"A",106.6,91.9,99.6,49.2,19,37.1,13.3,36.84,106.6,91.9,99.6,49.2,19,37.1,13.3,36.84
"North CarolinaNotre Dame1-4",2025-01-04,"North Carolina","Notre Dame",74,73,"A",113,96.6,109.2,58.8,19.2,20,35.3,28.57,111.8,103.5,107.7,50,19.2,32.4,36.8,30.43
"North CarolinaPittsburgh1-28",2025-01-28,"North Carolina","Pittsburgh",65,73,"A",107.2,96.1,98.7,50,21.2,31.2,15.3,29.17,112.3,96.1,110.8,51.8,9.1,17.6,36.4,34.62
"North CarolinaUCLA12-21",2024-12-21,"North Carolina","North Carolina",76,74,"N",116,96.3,105.5,55.3,25,30,74.5,34.78,116,96.3,105.5,55.3,25,30,74.5,34.78
"North CarolinaWake Forest1-21",2025-01-21,"North Carolina","Wake Forest",66,67,"A",102.5,91.1,90.7,46.2,16.5,20.5,15.4,25,96.4,85.2,92,41.8,19.2,28.6,49.1,13.33
"North DakotaNotre Dame11-19",2024-11-19,"Notre Dame","Notre Dame",75,58,"H",97.8,85.5,110.7,54,10.3,22.6,16.1,17.65,97.8,85.5,110.7,54,10.3,22.6,16.1,17.65
"North FloridaGeorgia Tech11-10",2024-11-10,"Georgia Tech","Georgia Tech",93,105,"H",101.7,123.1,113.8,55.1,12.2,29.5,15.2,44.83,101.7,123.1,113.8,55.1,12.2,29.5,15.2,44.83
"Northern ArizonaStanford11-12",2024-11-12,"Stanford","Stanford",90,64,"H",136.4,113.8,147.1,66.7,9.8,41.7,28.1,52.17,136.4,113.8,147.1,66.7,9.8,41.7,28.1,52.17
