"date","team","opp","adj_o","adj_d"
2024-11-30,"Green Bay","Campbell",86.1,112.5
2024-11-24,"Evansville","Campbell",93.8,90
2024-11-22,"Ohio St.","Campbell",129.8,97.3
2024-11-17,"Navy","Campbell",93.3,127.9
2024-11-10,"Saint Francis","Campbell",91.1,101.6
2024-11-06,"Virginia","Campbell",105.7,104.6
2024-12-17,"Prairie View A&M","UCLA",120.6,132.9
2024-12-14,"Arizona","UCLA",98.6,81.9
2024-12-08,"Oregon","UCLA",119.6,104.7
2024-12-03,"Washington","UCLA",106,98.7
2024-11-26,"Southern Utah","UCLA",76.7,109.8
2024-11-22,"Cal St. Fullerton","UCLA",90.4,106.7
2024-11-20,"Idaho St.","UCLA",128.6,126.5
2024-11-15,"Lehigh","UCLA",87.2,115.7
2024-11-11,"Boston University","UCLA",67.9,87.9
2024-11-08,"New Mexico","UCLA",113.2,77.3
2024-11-04,"Rider","UCLA",96.3,117.9
2024-12-17,"Winthrop","Florida St.",93.3,101.9
2024-12-14,"Tulane","Florida St.",98.8,109.7
2024-12-07,"N.C. State","Florida St.",128.6,106.9
2024-12-03,"LSU","Florida St.",123.6,102.5
2024-11-26,"Western Carolina","Florida St.",86,111.2
2024-11-24,"Massachusetts","Florida St.",95.9,116.6
2024-11-22,"Temple","Florida St.",103.4,101.4
2024-11-19,"Hofstra","Florida St.",100.4,107
2024-11-15,"Florida","Florida St.",130,94.4
2024-11-12,"Tarleton St.","Florida St.",82.4,92
2024-11-09,"Rice","Florida St.",99.5,98.9
2024-11-04,"Northern Kentucky","Florida St.",88.3,93.3
2024-12-14,"Tennessee","Illinois",113.7,88.9
2024-12-10,"Wisconsin","Illinois",124.6,104.4
2024-12-06,"Northwestern","Illinois",101.6,83.3
2024-11-28,"Arkansas","Illinois",118.4,115.8
2024-11-25,"Little Rock","Illinois",66.3,113.5
2024-11-23,"Maryland Eastern Shore","Illinois",72.6,100.3
2024-11-20,"Alabama","Illinois",141.1,96.1
2024-11-13,"Oakland","Illinois",89.7,87
2024-11-08,"SIU Edwardsville","Illinois",103.1,114.5
2024-11-04,"Eastern Illinois","Illinois",101.4,113.8
2024-12-18,"Memphis","Virginia",110.3,98.6
2024-12-12,"Bethune Cookman","Virginia",89.8,93.9
2024-12-07,"SMU","Virginia",103.9,87.1
2024-12-04,"Florida","Virginia",142.8,113.7
2024-11-29,"Holy Cross","Virginia",82.6,113.5
2024-11-26,"Manhattan","Virginia",113.9,122.1
2024-11-22,"St. John's","Virginia",138.5,90.7
2024-11-21,"Tennessee","Virginia",109.9,76.3
2024-11-15,"Villanova","Virginia",104.7,113.6
2024-11-11,"Coppin St.","Virginia",78.6,97.5
2024-11-06,"Campbell","Virginia",106.4,110.5
2024-12-17,"Merrimack","Stanford",101.9,104
2024-12-07,"California","Stanford",120.6,130.7
2024-12-03,"Utah Valley","Stanford",89.4,95.3
2024-11-30,"Cal Poly","Stanford",127.3,111
2024-11-26,"Grand Canyon","Stanford",105.3,90.6
2024-11-23,"Santa Clara","Stanford",102.1,93.3
2024-11-20,"Norfolk St.","Stanford",102.7,102.1
2024-11-17,"UC Davis","Stanford",92.8,100.7
2024-11-12,"Northern Arizona","Stanford",113.6,131
2024-11-08,"Cal St. Fullerton","Stanford",97.1,106.8
2024-11-04,"Denver","Stanford",96.6,109.9
2024-12-14,"Northwestern St.","California",105,117.4
2024-12-10,"Cornell","California",120.4,99.9
2024-12-07,"Stanford","California",136.7,109.9
2024-12-03,"Missouri","California",121.6,118.6
2024-11-27,"Mercyhurst","California",86.8,112
2024-11-24,"Sacramento St.","California",105,108.7
2024-11-21,"Air Force","California",102.7,109.7
2024-11-17,"USC","California",97.6,101
2024-11-13,"Vanderbilt","California",108.1,85.5
2024-11-07,"Cal Poly","California",98.3,108.5
2024-11-04,"Cal St. Bakersfield","California",98,110.3
2024-12-17,"South Carolina","Clemson",130.8,107.8
2024-12-14,"Memphis","Clemson",128.4,100.4
2024-12-07,"Miami FL","Clemson",102.6,100.1
2024-12-03,"Kentucky","Clemson",107.9,93.7
2024-11-29,"Florida A&M","Clemson",104,112.6
2024-11-26,"Penn St.","Clemson",106.9,98.6
2024-11-25,"San Francisco","Clemson",102.5,100.7
2024-11-21,"Radford","Clemson",91.6,108.9
2024-11-17,"Boise St.","Clemson",123.2,97.3
2024-11-12,"Eastern Kentucky","Clemson",107.8,104
2024-11-08,"Saint Francis","Clemson",95.9,111.2
2024-11-04,"Charleston Southern","Clemson",103.2,116.4
2024-12-14,"Georgetown","Syracuse",109.4,98.7
2024-12-10,"Albany","Syracuse",117.7,130.3
2024-12-07,"Notre Dame","Syracuse",99,90.1
2024-12-03,"Tennessee","Syracuse",130.4,98.9
2024-11-27,"Cornell","Syracuse",98.7,98.4
2024-11-22,"Texas Tech","Syracuse",116.4,102.9
2024-11-21,"Texas","Syracuse",106.4,88.7
2024-11-16,"Youngstown St.","Syracuse",109.8,105.1
2024-11-12,"Colgate","Syracuse",101.4,100.4
2024-11-04,"Le Moyne","Syracuse",108.4,102
2024-12-15,"Presbyterian","Miami FL",113.2,129.6
2024-12-10,"Tennessee","Miami FL",106.3,81.7
2024-12-07,"Clemson","Miami FL",103.4,84.4
2024-12-03,"Arkansas","Miami FL",106.5,97.7
2024-11-30,"Charleston Southern","Miami FL",118.6,102.3
2024-11-24,"VCU","Miami FL",118.8,95.6
2024-11-22,"Oklahoma St.","Miami FL",121.6,95
2024-11-21,"Drake","Miami FL",125.5,99
2024-11-17,"Coppin St.","Miami FL",92.4,120.8
2024-11-10,"Binghamton","Miami FL",91.9,112
2024-11-04,"Fairleigh Dickinson","Miami FL",98.4,129.5
2024-12-17,"Georgia St.","Auburn",98.4,101.3
2024-12-14,"Ohio St.","Auburn",93.8,110.6
2024-12-08,"Richmond","Auburn",88.3,103.2
2024-12-04,"Duke","Auburn",145.6,103.4
2024-11-27,"Memphis","Auburn",122.6,111.6
2024-11-26,"North Carolina","Auburn",106.5,94.5
2024-11-25,"Iowa St.","Auburn",129.8,92.6
2024-11-18,"North Alabama","Auburn",111.6,105.5
2024-11-13,"Kent St.","Auburn",101.5,98.9
2024-11-09,"Houston","Auburn",126.3,94.4
2024-11-06,"Vermont","Auburn",76.7,103
2024-12-18,"North Dakota","Alabama",129.7,110.4
2024-12-14,"Creighton","Alabama",106.2,95.8
2024-12-04,"North Carolina","Alabama",100.5,98.1
2024-11-30,"Oregon","Alabama",120.1,95.1
2024-11-27,"Rutgers","Alabama",123.3,102.8
2024-11-26,"Houston","Alabama",115.5,95.1
2024-11-20,"Illinois","Alabama",113.2,107
2024-11-15,"Purdue","Alabama",134.5,102.3
2024-11-11,"McNeese St.","Alabama",102.7,92.5
2024-11-08,"Arkansas St.","Alabama",101,88.8
2024-11-04,"UNC Asheville","Alabama",89.9,117.5
2024-12-14,"N.C. State","Kansas",109.2,108
2024-12-08,"Missouri","Kansas",119.1,80.4
2024-12-04,"Creighton","Kansas",120.7,81.6
2024-11-30,"Furman","Kansas",97.3,108
2024-11-26,"Duke","Kansas",116.1,100.8
2024-11-19,"UNC Wilmington","Kansas",108.7,105.1
2024-11-16,"Oakland","Kansas",102.2,110.3
2024-11-12,"Michigan St.","Kansas",99.7,86.8
2024-11-08,"North Carolina","Kansas",127.6,107.8
2024-11-04,"Howard","Kansas",89.7,109.4
2024-12-17,"Western Carolina","Tennessee",70,93.3
2024-12-14,"Illinois","Tennessee",116.1,89.7
2024-12-10,"Miami FL","Tennessee",109,99.2
2024-12-03,"Syracuse","Tennessee",124.8,117.4
2024-11-27,"Tennessee Martin","Tennessee",80.6,103
